type,antigen,x,y
SR,GE/A9509/95,3.28126913237,-5.80918010889
SR,FI/338/95,4.12253609609,-6.68087782738
SR,NL/47/95,3.05177337092,-6.77657646388
SR,NA/933/95,0.878509738127,-8.55635775085
SR,LY/2279/95,2.9415909343,-7.69892678134
SR,SP/1/96,-0.766885436087,-5.36414648518
SR,BR/8/96,0.996388660774,-7.41174119694
SR,AU/10/97,-2.02493978563,-9.25874073989
SR,SY/5B/97,-2.00556220727,-10.7492343675
SR,NL/5/98,1.12694127228,-8.13859662436
SR,WU/359B/95,0.186871620323,-6.82472304862
SR,SY/5A/97,-3.07459514491,-9.27344026159
SR,MW/10/99,-2.68197338249,-10.8908047422
SR,SY/5HAY/97,-3.22654726951,-10.6416690307
SR,SH/31/80,-4.09813291497,6.29134364063
SR,NL/1/02,-1.77672913928,-9.84123079158
SR,PM/2007/99,-2.85414310147,-11.0801984975
SR,NL/126/01,-2.10158988598,-10.0567801906
SR,NL/118/01,-2.18884197313,-10.2250843109
SR,VI/3C/75,-0.884196740007,9.47131154957
SR,NL/18/94,2.19542932067,-8.3559513458
SR,FU/411/02,-1.49866400303,-15.0684529463
SR,NL/88/03,-2.39409037081,-11.4075007945
SR,NL/22/03,-1.69232833374,-13.6487486767
SR,NL/124/01,-2.72024961314,-11.0409791778
SR,HK/107/71,6.97912058658,16.7332908909
SR,PH/2V/82,-4.22480260324,6.87391528873
SR,BE/32V/92,3.97400387908,-1.40887157027
SR,NL/286/97,0.387006107744,-6.79650900911
SR,SY/5V/97,-3.20333977812,-11.0647190323
