name,year,cluster,type,x.coordinate,y.coordinate,location,lat,lng
NI/3129/92,1992,BE89,AG,-2.55756915521,-1.09900095105,NIJMEGEN,51.83,5.84
NL/819/92,1992,BE89,AG,-2.10074383206,-1.79187571611,NETHERLANDS,52.08,4.27
NL/935/92,1992,BE89,AG,-1.94363955145,-0.763821031079,NETHERLANDS,52.08,4.27
PA/583/92,1992,BE89,AG,-3.80149877784,-0.913031198663,PARIS,48.8667,2.3333
PA/614/92,1992,BE89,AG,-3.30098651661,-1.12589829075,PARIS,48.8667,2.3333
SA/8/92,1992,BE89,AG,-4.03185647992,-1.81085603896,SOUTH AUSTRALIA,-29.3,135.74
SA/23/92,1992,BE89,AG,-4.23737066563,-1.04137325261,SOUTH AUSTRALIA,-29.3,135.74
SA/27/92,1992,BE89,AG,-3.21619026421,-2.56604231265,SOUTH AUSTRALIA,-29.3,135.74
ST/7/92,1992,BE89,AG,-4.21504314506,-0.043000494607,STOCKHOLM,59.3508,18.0973
VI/68/92,1992,BE89,AG,-1.98920501141,-0.597377942754,VICTORIA,48.4333,-123.35
GE/5366/91,1991,SI87,AG,0.628322766023,2.1976304198,GENEVA,46.21,6.14
BE/353/89,1989,BE89,AG,-3.9616507499,-0.777628911417,BEIJING,39.9289,116.3883
LY/1182/91,1991,BE89,AG,-2.04277681686,-2.34523976907,LYON,45.77,4.83
BE/352/89,1989,BE89,AG,-0.887656235217,-1.72057021447,BEIJING,39.9289,116.3883
PA/467/92,1992,BE89,AG,-2.96619435736,-0.265685892413,PARIS,48.8667,2.3333
TI/5957/92,1992,BE89,AG,-2.32124232409,-1.14723158037,TILBURG,51.56,5.09
AT/211/89,1989,SI87,AG,-1.60960669085,1.02829444057,ATLANTA,33.7627,-84.4225
SP/34/89,1989,SI87,AG,1.00890855993,1.21150654485,SINGAPORE,1.293,103.8558
SP/36/89,1989,SI87,AG,1.28975783267,1.08507620205,SINGAPORE,1.293,103.8558
SP/53/89,1989,SI87,AG,0.0637133740039,1.98506415192,SINGAPORE,1.293,103.8558
VI/1/89,1989,SI87,AG,2.16461155642,5.3400243777,VICTORIA,48.4333,-123.35
ME/5/90,1990,SI87,AG,-1.81164818618,1.93519019751,MEMPHIS,35.1046,-89.9773
SH/24/90,1990,SI87,AG,3.22142495718,0.626521110496,SHANGHAI,31.2165,121.4365
BE/32/92,1992,BE92,AG,4.48910667346,-1.20273783703,BEIJING,39.9289,116.3883
FI/247/92,1992,BE92,AG,5.44448604076,-3.62086098382,FINLAND,60.1756,24.9341
NL/938/92,1992,BE92,AG,3.16421407112,-0.701060773975,NETHERLANDS,52.08,4.27
SE/C273/92,1992,BE92,AG,6.83845716229,-2.83915643787,SENDAI,38.2871,141.0217
ST/12/92,1992,BE92,AG,4.00293973672,-3.08035195338,STOCKHOLM,59.3508,18.0973
ST/13/92,1992,BE89,AG,-2.17958654101,-0.186064045534,STOCKHOLM,59.3508,18.0973
UM/1982/92,1992,BE89,AG,-1.88343345855,-2.34080175789,UMEA,63.83,20.24
UM/2000/92,1992,BE89,AG,-2.2847364453,-1.72796665,UMEA,63.83,20.24
